"","leto","drzava","drzavljanstvo","spol","stevilo"
"431",2008,"Denmark","Montenegro","Males",4
"432",2008,"Denmark","Montenegro","Females",7
"433",2008,"Denmark","Serbia","Males",28
"434",2008,"Denmark","Serbia","Females",51
"435",2008,"Denmark","Russia","Males",159
"436",2008,"Denmark","Russia","Females",284
"437",2008,"Denmark","San Marino","Males",0
"438",2008,"Denmark","San Marino","Females",0
"439",2008,"Denmark","Ukraine","Males",1277
"440",2008,"Denmark","Ukraine","Females",572
"441",2008,"Denmark","Vatican City State","Males",0
"442",2008,"Denmark","Vatican City State","Females",0
"443",2008,"Denmark","Kosovo (under United Nations Security Council Resolution 1244/99)","Males",NA
"444",2008,"Denmark","Kosovo (under United Nations Security Council Resolution 1244/99)","Females",NA
"445",2008,"Denmark","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Males",5
"446",2008,"Denmark","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Females",5
"447",2008,"Denmark","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Males",5
"448",2008,"Denmark","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Females",1
"449",2008,"Denmark","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Males",0
"450",2008,"Denmark","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Females",2
"451",2008,"Denmark","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Males",15
"452",2008,"Denmark","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Females",13
"453",2008,"Denmark","Recognised non-citizens","Males",0
"454",2008,"Denmark","Recognised non-citizens","Females",0
"455",2008,"Denmark","Other european countries (aggregate changing according to the context)","Males",NA
"456",2008,"Denmark","Other european countries (aggregate changing according to the context)","Females",NA
"457",2008,"Germany (until 1990 former territory of the FRG)","Belgium","Males",1212
"458",2008,"Germany (until 1990 former territory of the FRG)","Belgium","Females",826
"459",2008,"Germany (until 1990 former territory of the FRG)","Bulgaria","Males",14583
"460",2008,"Germany (until 1990 former territory of the FRG)","Bulgaria","Females",9510
"461",2008,"Germany (until 1990 former territory of the FRG)","Czech Republic","Males",3097
"462",2008,"Germany (until 1990 former territory of the FRG)","Czech Republic","Females",3212
